Date	Site	Temp.avg	Temp.max
2022-08-14	Shaver's Creek	16.6372488425926	17.8586666666667
2022-08-14	Standing Stone	15.6630335648148	17.4466666666667
2022-08-15	Big Poe	16.8007708333333	17.415
2022-08-15	East Branch	14.5204201388889	15.4835
2022-08-15	Shaver's Creek	16.7531122685185	17.3036666666667
2022-08-15	Standing Stone	15.4043640046296	16.3675
2022-08-16	Big Poe	17.1053541666667	18.438
2022-08-16	East Branch	14.6989756944444	16.5445
2022-08-16	Shaver's Creek	16.6834340277778	17.859
2022-08-16	Standing Stone	15.68971875	17.3195
2022-08-17	Big Poe	16.5585833333333	17.368
2022-08-17	East Branch	14.6329756944444	16.1035
2022-08-17	Shaver's Creek	16.7619166666667	18.0013333333333
2022-08-17	Standing Stone	15.6986990740741	17.7475
2022-08-18	Big Poe	16.3705416666667	18.129
2022-08-18	East Branch	14.40584375	16.377
2022-08-18	Shaver's Creek	16.3007662037037	17.9616666666667
2022-08-18	Standing Stone	15.366056712963	17.605
2022-08-19	Big Poe	17.0716041666667	19.056
2022-08-19	East Branch	14.6513854166667	16.3425
2022-08-19	Shaver's Creek	16.9460277777778	18.8816666666667
2022-08-19	Standing Stone	15.9115347222222	18.3033333333333
2022-08-20	Big Poe	18.3053541666667	20.103
2022-08-20	East Branch	15.5357256944444	17.1765
2022-08-20	Shaver's Creek	17.8940775462963	19.5956666666667
2022-08-20	Standing Stone	17.2490763888889	19.7963333333333
2022-08-21	Big Poe	18.5908125	19.294
2022-08-21	East Branch	15.7373159722222	17.093
2022-08-21	Shaver's Creek	17.9412233796296	18.5726666666667
2022-08-21	Standing Stone	16.8562563657407	17.63525
2022-08-22	Big Poe	18.4981458333333	19.222
2022-08-22	East Branch	15.6731180555556	16.4865
2022-08-22	Shaver's Creek	17.6284444444444	18.184
2022-08-22	Standing Stone	16.6539953703704	17.748
2022-08-23	Big Poe	18.519375	19.603
2022-08-23	East Branch	15.5724791666667	16.7955
2022-08-23	Shaver's Creek	17.8032986111111	18.7786666666667
2022-08-23	Standing Stone	16.9169699074074	18.938
2022-08-24	Big Poe	18.0393333333333	19.222
2022-08-24	East Branch	15.3245833333333	16.593
2022-08-24	Shaver's Creek	17.51865625	18.6516666666667
2022-08-24	Standing Stone	16.5926244212963	18.5253333333333
2022-08-25	Big Poe	17.8796458333333	19.484
2022-08-25	East Branch	15.4628854166667	16.9025
2022-08-25	Shaver's Creek	17.6913078703704	19.1516666666667
2022-08-25	Standing Stone	16.4254878472222	18.3266666666667
2022-08-26	Big Poe	18.685875	20.079
2022-08-26	East Branch	15.8850972222222	17.3315
2022-08-26	Shaver's Creek	18.3185219907407	19.7306666666667
2022-08-26	Standing Stone	17.1522112268519	19.1436666666667
2022-08-27	Big Poe	18.8058333333333	19.865
2022-08-27	East Branch	15.866375	17.117
2022-08-27	Shaver's Creek	18.6439652777778	19.953
2022-08-27	Standing Stone	17.2216851851852	18.8983333333333
2022-08-28	Big Poe	18.688375	20.317
2022-08-28	East Branch	16.03234375	17.6165
2022-08-28	Shaver's Creek	18.3972962962963	19.8413333333333
2022-08-28	Standing Stone	17.3645908564815	20.0266666666667
2022-08-29	Big Poe	20.062375	21.772
2022-08-29	East Branch	16.5919444444444	18.2
2022-08-29	Shaver's Creek	19.2797986111111	20.9143333333333
2022-08-29	Standing Stone	18.4192337962963	20.7326666666667
2022-08-30	Big Poe	20.0576458333333	20.579
2022-08-30	East Branch	16.5241805555556	17.6285
2022-08-30	Shaver's Creek	19.3020740740741	20.151
2022-08-30	Standing Stone	17.7885954861111	18.84775
2022-08-31	Big Poe	18.5174791666667	19.341
2022-08-31	East Branch	15.7800416666667	16.879
2022-08-31	Shaver's Creek	18.2217175925926	19.294
2022-08-31	Standing Stone	16.8798796296296	18.3426666666667
2022-09-01	Big Poe	17.337625	17.701
2022-09-01	East Branch	15.0926458333333	15.973
2022-09-01	Shaver's Creek	17.1881736111111	17.7636666666667
2022-09-01	Standing Stone	15.9723055555556	16.54025
